SQLite version 3.8.9 2015-04-08 12:16:33
Enter ".help" for usage hints.
sqlite> 5427_133283_1001448|Baby Food
5427_133283_1224824|Baby Food Stages
3920_582106|Cooking, Food & Wine
976759|Food
976759_976785_1001781|Tuna & Seafood
976759_976789_1018822|Prepared Foods
976759_1089004|Food Gifts
976759_1071964|Fresh Food
976759_1071964_976796|Meat, Seafood & Poultry
976759_976791|Frozen Foods
976759_1228023|Gluten-Free Foods
976759_1228023_1228016|Gluten-Free Foods
976759_1228025|International Foods
976759_1228025_1228102|Asian Foods
976759_1228025_1228103|Hispanic Foods
976759_1228025_1228104|Mediterranean Foods
976759_1228025_1228105|Other International Foods
976759_976794_1094144|Emergency Food
976759_976794_1001781|Tuna & Seafood
976759_976796|Meat, Seafood & Poultry
976759_1228024|Organic Foods
976759_1228024_1228017|Organic Foods
976759_1089124_1228020|Dairy-Free Foods
976759_1089124_1228019|Fat-Free Foods
976759_1089124_1228016|Gluten-Free Foods
976759_1089124_1228106|Kosher Foods
976759_1089124_1228022|Nut-Free Foods
976759_1089124_1228017|Organic Foods
976759_1089124_1228018|Sugar-Free Foods
976759_1089124_1228021|Vegetarian Foods
976760_1005859_1044200|Diet Foods & Drinks
4044_90828_668719|Food Storage
1115193_1073264_1149386|Food Storage Bags & Containers
5440_202073_1014999|Cat Food
5440_202072_1015000|Dog Food
5440_202074_202104|Fish Food
5440_1092244_1043916|Horse Food
5440_1075304|Pet Food
5440_1075304_1225008|Bird Food
5440_1075304_1014999|Cat Food
5440_1075304_1015000|Dog Food
5440_1075304_202104|Fish Food
5440_1075304_1043916|Horse Food
5440_1075304_1043914|Small-Pet Food
1085632_1094926_1102798|Empowering Women Food
4171_4173_133035|Kitchens, Playfood & Housekeeping
sqlite> sqlite> 
